Category,Message
spam,"URGENT! Last weekend draws that you have won 1000 £ 1000 cash or a Spanish vacation! Call 09050000332 to request. T&C: RSTM, SW7 3SS. 150ppm"
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
ham,"I av a new number,  . Wil u only use this one,ta."
spam,"Sunshine Hols. To request your vacation, send an envelope of the seal to beverage in the United States, Po Box 113, Bray, Wicklow, Eire. The puzzle begins on Saturday! Not stop"
spam,"Themob> Check our latest options on content, game, tone, rumor, babes and sport, keep your mobile device appropriate and wap text to 82468"
ham,Ok... I din get ur msg...
ham,"Sorry, I'll call later In meeting."
ham,What Today-sunday..sunday is holiday..so no work..
spam,"Do not forget you can set many free requirements with 1stchoice.co.uk as you want. For more information, call 08707808226."
spam,"From the next month, a maximum of 50% of the calling of 4 standard networks of UR 2 activates calls 9061100010 c wire."
spam,"As one of our registered registrants, you can enter drawing 4 A 100 G.B. Gift voucher by answering with Enter. To cancel the registration document"
spam,"Free round melody just need to text ""polys"" to 87131. After that, every week has a new melody. 0870737910216YRS is only £ 1.50/week."
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
ham,K:)k..its good:)when are you going?
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÂT LIKE ME LIKE THAT SO DONÂT WORRY."
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
spam,"Hello, I Sue. I am 20 years old and work as a scam. I love sex. Text me directly - I'm my bedroom now. Sue text to 89555. By Textoperator G2 1DA 150ppmsg 18+"
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,IM GONNA MISS U SO MUCH
ham,No screaming means shouting..
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
spam,07732584351 - Rodger Burns - MSG = We have tried to call you your reply to our SMS for a free Nokia Mobile + camera for free. Please call 08000930705 for delivery tomorrow
ham,Yes i thought so. Thanks.
spam,The money I won the number 946 wot I did next
spam,Freemsg: Hey - I am Buffy. 25 and satisfied men. The house alone feels Randy. Answer my 2 C PIX! Qlynnbv Help08700621170150p MSG sends to stop to stop TKTS
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,Double Mins & Double TXT & 1/2 Price on the latest orange bluetooth mobile phone. Call MobileupD8 for the latest incentives. 08000839402 or call2optout/LF56
ham,Yes when is the appt again?
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
spam,SMS service for text credit includes your PLS Gotto www.comuk.net login 3qxj9 cancellation without stopping without helping 08702840625 comk.220cm2 9AE
ham,I told your number to gautham..
spam,URGENT! We are trying to contact U. Today Draw shows that you have won the £ 2000 award. Call 09066358361 from Land Line. Request Y87. Only 12 hours valid
spam,Themob> Yo Yo Yo-Here to a new option for hot download for our members to get free! Just click and open the next link sent to you ...
spam,"It comes to 80488. 500 free text messages of your valid until December 31, 2005."
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or Â£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
spam,"You won! Holiday 4* Costa del Sol or £ 5000 is waiting for the collection. Call 09050090044 right now toclaim. SAE, TC S, POBOBO334, Stockport, SK38XH, cost £ 1.50/way, max10ins"
spam,Answer with your name and address and you will receive a free week for free at the global locations www.phb1.com Ph: 08700435505150p
spam,<Get forward from 88877> free entry to the week of our £ 250 only need to send from imported to 88877 right now. 18 T&C www.textcomp.com
spam,The number of 5226 voda voda is chosen to receive 350 awards.
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
spam,4MTHS Half Price Orange Line for rent & latest 4 -camera phone. Is your 11 -month phone? Call MobileDirect for free at 08000938767 to update now! Or2stoptxt
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
spam,"Thinking that you are smart? Won £ 200 this week in our weekly test, play text up to 85222 now! T & CS WinersClub PO Box 84, M26 3uz. 16+. GBP1.50/week"
ham,"I don't think I can get away for a trek that long with family in town, sorry"
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
ham,In that case I guess I'll see you at campus lodge
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
spam,"Victory: We have a winner! Mr. T. Foley has won an iPod! The prizes are interesting early, so follow your mobile phone or visit www.win-82050.co.uk"
ham,Ã collecting ur laptop then going to configure da settings izzit?
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,Can Ã¼ call me at 10:10 to make sure dat i've woken up...
spam,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
spam,The number of voda enday ends 7548 chosen to receive the $ 350 prize.
ham,Ok... Take ur time n enjoy ur dinner...
spam,Lyricalladie (21/F) is inviting you to be her friend. Answer is-910 or NO-910. See her: www.sms.ac/u/hmmross? Send FRND to 62468
spam,8007 for free for the first week! No1 Nokia Tone 4 UR MOB per week only txn nokia to 8007 receives txting and tells your friends www.getzed.co.uk Pobox 36504 W4 5WQ Norm 150p/tone 16+
spam,"Imagine football is back on your TV. Visit Sky Gamestar on Sky Active and play the dream group £ 250,000. Score starting on Saturday, so register now! Sky select 88088"
spam,"You can win 100 tables of music gift vouchers every week starting from the draw from 87066 TSCS www.idew.com Skillgame, 1winaweek, Age 16."
ham,Guess who spent all last night phasing in and out of the fourth dimension
spam,Freemsg: Our profile shows that you can get 3750 pounds for the accident you encounter. To ask for free answers to this MSG. To refuse the stop text
spam,"Orange brings you ringtones from heroes charting all time, with a free shot every week! Access ringtones & photos on wap. To stop taking these advice, please answer."
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x CallsÂ£1/minMobsmore LKPOBOX177HP51FL
ham,He remains a bro amongst bros
ham,Thanks for ve lovely wisheds. You rock
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
spam,"Thank you for your ringtone order, X29 reference number. Your mobile phone will be charged 4.50. If your melody does not come, please call customer service 09065989180"
ham,Apps class varaya elaya.
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,SMS. AC SPTV: Devil New Jersey and Detroit Red Wings play hockey on the ice. True or not accurate? End? Answer to end SPTV
spam,"Buy a ringtone and now receive a message costing 3 pounds providing more sounds, etc."
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
spam,Ur go 2 Bahamas! CallfreeFone 08081560665 and talk to a direct executive to ask the Bahamas Cruise of £ 2000 cash only 18+. To refuse txt x to 07786200117
spam,SMS service for text credit includes your PLS Gotto www.comuk.net login 3qxj9 cancellation without stopping without helping 08702840625 comk.220cm2 9AE
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
spam,"Update_now - XMAS offer! Motorola, Sonyericson & Nokia & Bluetooth Free! Double Mins & 1000 TXT on Orange. Call mobileupd8 at 08000839402 or call2optout/f4q ="
spam,PRIVATE! Your 2003 account report for 800 points S. I. M. is not saved. Call 08718738002 identification code: 48922 expired 11/21/04
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...
ham,"How about clothes, jewelry, and trips?"
ham,As usual u can call me ard 10 smth.
ham,"Sorry, I'll call later"
spam,Now you canceled all the services. Receive tons of sexy children or hunters straight into your phone! Visit http://gotbabes.co.uk. No registration.
spam,Join our weekly competition £ 250 only texting from win to 80086 now. 18 T&C www.txttowin.co.uk
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
spam,Network operator. Service is free. For the visit of T&C 80488.biz
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,Howz that persons story
ham,K da:)how many page you want?
spam,8007 25p 4 Alfie Moon's Children in need Song on Ur Mob. Tell you M8S. TXT Tone to 8007 for Nokias or Poly Charity for Polys: Zed 08701417012 Profit 2
spam,Congratulations on giving 500 votes of CD or 125GIFT guarantee & free entry 2 100 WKLY to draw txt to 87066
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
spam,Buy 4 -A Chance 2 Win Orig Arcade Game Console. Click 0 for the Arcade game (STD Wap Charge) View O2.co.uk/games 4 Terms + Install. Not buy
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
spam,<Forwarded from 88877>FREE entry into our Â£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
spam,Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058091854 now all will be revealed. Po Box385 M6 6WU
spam,There are 11 minutes of your mobile? Free updates for the latest color camera Cam Cam Cam Cam & Unlimited Weekend Calls. Call mobile upd8 on freeFone 08000839402 or 2stoptx
spam,"Sorry, I missed your call, talk when you have time. I am at 07090201529"
spam,"You are a Â£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
spam,Do well in England! Get official poly ringtones or color flags on mobile devices! Melody or flag text to 84199 right now! Give up TXT Eng stop. Box39822 W111WX £ 1.50
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
ham,Networking job is there.
ham,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
spam,"tddnewslet diamc1.co.uk (Add games from Thean DailyDraw) Helen, dozens of free games - with great prizes .."
spam,CORRECT! The only place in the town to meet interesting singles is interesting in England. TXT talks to 86688 now! 150p/message.
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
ham,I tagged MY friends that you seemed to count as YOUR friends.
spam,Claire here is Havin Borin Time & now you want to concurrently cum more than 2nite? Chat now 09099725823 Hope 2 C LUV CLAIRE XX CALL
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
spam,PRIVATE! Your 2003 account report for 800 points S. I. M. is not saved. Call 08718738002 identification code: 48922 expired 11/21/04
spam,Want to have clear sex in 30 seconds? Round 02073162414 now! Cost 20p/minute GSEX POBOBOBY 2667 WC1N 3XX
ham,What's ur pin?
spam,Hello 07734396839 Customer customers of IBH
spam,XMAS Award! We are trying to contact U. Today Draw shows that you have won the £ 2000 award. Call 09058094565 from Land Line. Only 12 hours valid
spam,Congratulations on winning. You are the winner of our 1000 £ August Award. Call 0906660100 right now. Awards 2309.
spam,Thank you for continuing to support your question this week will go to our In2 u £ 100 cash. Name the new US President? TXT ANS to 80082
spam,"U 447801259231 has a secret fan, who is looking for two people to contact U-Find who they revealed who thought you were very special on 09058094597"
ham,Dear good morning now only i am up
ham,How's ur paper?
spam,PRIVATE! Your 2003 account report for 07815296484 shows 800 S.I.M. point. Call 08718738001 identification code 41782 expired 11/18/04
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Â£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
spam,Free for the first week! Nokia Nokia Mobile 4 Mobile Time Every Week is only TXT Nokia to 8077 received TXTING and told your partner. www.getzed.co.uk Pobox 36504 W45WQ 16+ Norm150P/Tone
ham,"Thank you. And by the way, I just lost."
ham,"I sent you the prices and do you mean the  &lt;#&gt; g,"
ham,Ã dun need to pick ur gf?
ham,Give me a sec to think think about it
spam,Special Valentine's Day! Win over £ 1000 in our test and take your partners on a lifetime trip! Send to 83600 now. 150p/MSG RCVD. Custom: 08718720201.
spam,"URGENT! Your mobile number *************** WON a Â£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
spam,Only December! There are 11 minutes of your mobile+? You have the right to update the latest color camera! Call Mobile update for free at 08002986906
ham,Maybe you should find something else to do instead???
spam,"Your mobile sex with a free sexy photo of Jordan! Just text the baby to 88600. After that, every week has a sexy celebrity! Pocketbabe.co.uk 4 other photos. 16 £ 3/week 087016248"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
spam,"URGENT! Your mobile phone number 07xxxxxxxxx has won a prize of the prize of the prize of £ 2,000 on June 2, March! This is the second effort to approach you! Call 09066362231 as soon as possible! Box97n7qp, 150ppm"
ham,Cab is available.they pick up and drop at door steps.
spam,Answer to win £ 100 per week! Where will FIFA World Cup 2006 be held? Send stop to 87239 to end the service
ham,It should take about  &lt;#&gt;  min
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
spam,"Hey boys. Want hot xxx pics directly sent 2 phones of your phone? TXT is porn to 69855, 24 hours for free and then only 50p a day. To stop text Stopbcm SF WC1N3XX"
ham,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
ham,"sorry, no, have got few things to do. may be in pub later."
spam,Enter free in 2 components weekly to have the opportunity to win iPod. TXT POD to 80182 to receive the entry (STD TXT ratio) Applicable of T&C 08452810073 for details 18+
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
spam,"This week offers Savamob members to be accessible. Just call 08709501522 for details! Savamob, Poxi 139, LA3 2WU. Only £ 1.50/week. Savamob - Providing mobile phones!"
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
ham,Mm you ask him to come its enough :-)
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
ham,Hi its in durban are you still on this number
ham,I am waiting machan. Call me once you free.
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,Waaaat?? Lololo ok next time then!
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham,"Alright omw, gotta change my order to a half8th"
spam,You are given a Sipix digital camera! Call 09061221061 from a fixed phone. Delivery within 28 days. T cs box177. M221BP. 2YR warranty. 150ppm. 16. P pâ £ 3.99
ham,Not getting anywhere with this damn job hunting over here!
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,Did u fix the teeth?if not do it asap.ok take care.
ham,Id have to check but there's only like 1 bowls worth left
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. Â£1.50 increments. Help08718728876"
spam,Set - you have been made 150p invoices. NetCollex Ltd. Po Box 1013 IG11 oja
spam,"Hello from Orange. In 1 month, free access to games, news and sports, plus 10 free documents and 20 photo messages, please answer yes. Terms of application: www.orange.co.uk/OW"
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
ham,Am I the only one who doesn't stalk profiles?
spam,"URGENT! Your mobile No *********** WON a Â£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
spam,Welcome! Please answer with your age and gender to start. Example: 24m
spam,To have the opportunity to win a £ 250 cash per txt: action to 80608.
spam,URGENT! This is the second effort to contact U! U won £ 1000Call 09071512432 B4 300603T & CSBCM4235WC1N3XX.Callcost150ppmmbilesvary. Maxâ £ 7. 50
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,If i said anything wrong sorry de:-)
spam,"Do well! Holiday 4* Costa del Sol or £ 5000 is waiting for the collection. Call 09050090044 right now toclaim. SAE, TCS, POBOBO334, Stockport, SK38XH, cost £ 1.50/way, max10ins"
ham,"Well, I was about to give up cos they all said no they didnât do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
ham,What you doing?how are you?
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
ham,No..he joined today itself.
spam,"You will receive your melody within the next 24 hours. To know the terms and conditions, please see the U Teletext PG 750 channel"
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
spam,"You have a secret person, who is looking for two people to contact you, who is the one they reveal that who thinks you are very special calling on 09058094594"
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,"Remind from O2: To receive 2.50 pounds of free calling credit and details about excellent incentives PLS answer these two documents with your valid name, no house and your postal code"
spam,"Customer service notice. Recently we have tried to deliver goods to you but could not do so, please call 07090298926 to schedule again. Reference: 9307622"
spam,Send the logo of your 2 lover - 2 names connected by a heart. TXT Name 1 name2 Mobno Eg Love Adam Eve 07123456789 to 87077 Yahoo! POBOBO36504W45WQ TXTNO 4 NO ADS 150P
ham,I can do that! I want to please you both inside and outside the bedroom...
spam,Sexy sexy and texting me I'm wet and warm and ready for some porn movies! Are you happy? This MSG is free MSGS 150P INC VAT 2 cancel the stop text
ham,No plans yet. What are you doing ?
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,DO NOT B LATE LOVE MUM
spam,Free for the first week! No1 Nokia Tone 4 UR MOB per week only txn nokia to 8007 receives txting and tells your friends www.getzed.co.uk Pobox 36504 W45WQ NORM150P/Tone 16+
spam,Natalie (20/F) is inviting you to be her friend. Answer there is-165 or No-165 see her: www.sms.ac/u/natalie2k9 stop? Send FRND to 62468
ham,I am late. I will be there at
spam,Freemsg: Hey - I am Buffy. 25 and satisfied men. The house alone feels Randy. Answer my 2 C PIX! Qlynnbv Help08700621170150p MSG sends to stop to stop TKTS
ham,"Sorry, I'll call later  &lt;#&gt; mins"
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x"
spam,Provides customer loyalty: Mobile Nokia6650 is only from 10 pounds at TXTAUCTION! TXT Word: Start no: 81151 & receive you right now! 4T & CTXT TC 150P/MTMSG
spam,Do you want a new video phone? 750 at any time min? Unlimited text? Camera? Answer or call now 08000930705 for del sat am
spam,Enjoy Jamster's Gold Video Club with your credit for 2 new videos+2 logos+Musicnews! Get more joy from Jamster.co.uk! 16+Only help? Call: 09701213186
spam,Join the most horned doggings of the United Kingdom and you can have 2nite sex! Just register and follow the instructions. Enter txt to 69888 right now! Nyt.ec2a.3lp.msg@150p
spam,Knock Knock TXT has 80082 to enter R weekly withdrawing 4 A -£ 250 Voucher 4 T & CS www.tkls.com Age16 to stopttxstop and £ 1.50/week
spam,"Does your contract have 11 MNTHS? Latest Motorola, Nokia, etc. All free! Double Mins & Document on Orange Tariffs. Texting can call back, not to delete from the profile."
spam,"Call 09095350301 and send our girls to porn. Just 60p/minute. To stop text, call 08712460324 (NAT ratio)"
ham,"Just dropped em off, omw back now"
spam,"Bangbabes your order is on the road. You will receive a MSG 2 service to download your content. If you don't, Goto Wap. BangB. TV on your internet/mobile service menu"
ham,Yes. Rent is very expensive so its the way we save.
ham,I accidentally deleted the message. Resend please.
spam,"Hot Live Fantasies call now 08707509020 only needs 20p per minute NTT Ltd, Po Box 1327 Croydon Cr9 5WB 0870 is a national ratio call"
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
spam,You have been selected specially to receive the 2000 pound! Call 08712402050 before the closed lines. Cost 10ppm. 16+. T&TS applies. Ag advertising
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
spam,"Emergency, important information for users O2. Today is your lucky day! 2 Find out why login to http://www.urawinner.com has a great surprise waiting for you"
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"Pity, * was in mood for that. So...any other suggestions?"
spam,3. You have received your mobile content. Enjoy
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
spam,"URGENT!! Holiday 4* Costa del Sol or £ 5000 is waiting for the collection. Call 09050090044 right now toclaim. SAE, TC S, POBOBO334, Stockport, SK38XH, cost £ 1.50/way, max10ins"
spam,Freemsg: Feelin Kinda Lnly hopes you like to keep my company! Does JST have a Moby orange want my pic? TXT or date of reply to 82242
spam,"You have a secret person, who is looking for two people to contact U-Find to who they have revealed who thinks that you are very special calling on 09065171142"
spam,"Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058095107 now all will be revealed. POBOBO 7, S3XY 150P"
ham,No break time one... How... I come out n get my stuff fr Ã¼?
ham,Thanx but my birthday is over already.
ham,"It'll be tough, but I'll do what I have to"
spam,XMAS Award! We are trying to contact U. Today Draw shows that you have won the £ 2000 award. Call 09058094565 from Land Line. Only 12 hours valid
ham,Eatin my lunch...
ham,"Usf I guess, might as well take 1 car"
ham,We are both fine. Thanks
spam,"Receive a free free mobile video movie. To collect text, visit 89105. It is free! Additional films can be ordered by T and C. 18 years only"
ham,If he started searching he will get job in few days.he have great potential and talent.
spam,"The last chance! Requirement of reduction vouchers worth £ 150 today! Text up to 85023 now! Savamob, member provided mobile! T CS Savamob Pobox84, M263Uz. £ 3,00 SBS 16"
spam,Moby Pub Quiz.win A £ 100 High Street if you know who is Cornwall's new Duchess? TXT her name to 82277.unsub stop £ 1.50 008704050406 sp
spam,Receive your first ringtone now! Reply to this message with the melody. GR8 Top 20 sounds for your phone every week is only £ 1.50 per week 2 Refuses to send Stop 08452810071 16
spam,To have the opportunity to win a £ 250 cash per txt: action to 80608.
ham,Is that what time you want me to come?
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,Hey anyway i have to :-)
spam,Ringtones Club: Receive the United Kingdom's single rankings on your mobile phone every week and choose any top quality ringtones! This notice is free.
spam,"Shopping until you drop, are you, 10k, 5k, £ 500 cash or £ 100 travel voucher, call now, 09064011000."
spam,Special Valentine's Day! Win over £ 1000 in our test and take your partners on a lifetime trip! Send to 83600 now. 150p/MSG RCVD. Custom: 08718720201.
ham,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,Bring it if you got it
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
spam,A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611
spam,"PRIVATE! Your 2003 account report for 800 points S. I. M. is not saved. Call 08715203694 identification code: 40533 expired October 31, April"
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
spam,"URGENT! Your mobile phone number ******/Find out the prize of the bonus call £ 2000 on June 10, March! This is the second effort to approach you! Call 09066368753 as soon as possible! Box 97N7QP, 150ppm"
ham,Except theres a chick with huge boobs.
spam,"As a valuable customer, I am happy to advise you that after recent review of your MOB, you will be awarded the prize award £ 1500, call 09066364589"
spam,Freemsg: Free call unlimited 1 month! Activate SmartCall TXT: Call: 68866.
spam,"You can win 100 tables of music gift vouchers every week starting from the draw from 87066 TSCS www.idew.com Skillgame, 1winaweek, Age 16."
spam,Ree enter 2 a componer weekly to have the opportunity to win the iPod. TXT POD to 80182 to receive the entry (STD TXT ratio) Applicable of T&C 08452810073 for details 18+
spam,8007 25p 4 Alfie Moon's Children in need Song on Ur Mob. Tell you M8S. TXT Tone to 8007 for Nokias or Poly Charity for Polys: Zed 08701417012 Profit 2
ham,Every day i use to sleep after  &lt;#&gt;  so only.
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
ham,"I can't right this second, gotta hit people up first"
spam,"Customer service notice. Recently we have tried to deliver goods to you but could not do so, please call 07090298926 to schedule again. Reference: 9307622"
spam,PRIVATE! Your 2004 account report for 07742676969 shows that 786 reward points have not been received. To request call 08719180248 identification code: 45239 expired
spam,Ringtones Club: GR8 new polys directly to your mobile phone every week!
ham,I place all ur points on e cultures module already.
ham,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
spam,Eastenders TV Quiz. Which flower compares with flowers? D = Violet E = Tulip F = lily txt d e or f to 84025 now 4 chances 2 wins £ 100 cash WKENT/150P16+
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
spam,"Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058097189 now all will be revealed. POBOBOB 6, LS15HB 150P"
